,KWARA_temp_mean,KWARA_temp_min,KWARA_temp_max,KWARA_humidity,KWARA_wind_speed,KWARA_wind_gust,KWARA_cloud_cover,KWARA_pressure,KWARA_global_radiation,KWARA_sunshine,KWARA_precipitation
count,9663.0,9663.0,9663.0,9663.0,9663.0,9663.0,9663.0,9663.0,9663.0,9663.0,9663.0
mean,25.615,21.336,30.98,74.991,1.943,3.229,61.977,97.175,18.127,8.295,3.447
std,1.672,2.227,2.769,14.006,0.69,0.915,27.903,0.159,3.361,1.502,5.564
min,19.1,10.72,23.61,19.16,0.33,0.48,0.0,96.61,3.74,1.96,0.0
25%,24.5,20.78,28.88,67.25,1.38,2.55,41.67,97.07,16.17,7.41,0.06
50%,25.48,21.78,30.6,79.95,1.87,3.22,67.3,97.18,18.64,8.41,1.47
75%,26.67,22.76,32.85,85.61,2.45,3.86,86.0,97.29,20.48,9.3,4.565
max,32.21,25.63,41.35,94.41,4.64,6.86,99.95,97.67,26.27,12.86,117.33
